word,embedding,predCategory
drive,"[ 0.021706 -0.031553  1.2017   -0.33133  -0.43952  -0.091586 -0.94755
 -0.4564    0.59854   0.5455   -0.87627  -0.51095  -0.88343  -0.31626
 -0.51718  -0.044612  0.3896    0.36602  -0.13686  -0.65133   0.078033
 -0.2325   -1.1512    0.2373    0.27838  -1.513     0.48321  -0.10623
  1.1215   -0.45096   2.9153    0.18543  -0.85901   0.33001   0.5974
  0.11189  -0.099407 -0.15986  -0.17952  -0.097396 -0.10677   0.16816
 -0.72836  -0.16249  -0.23042   0.18382   0.74292  -0.63151   0.12095
 -0.11623 ]",LOCATION
top,"[-0.66508    0.78362    0.74452    0.68549    0.648     -0.52191
 -0.52026    0.2572    -0.13776   -0.66091   -0.43022   -0.30704
 -0.88624    1.4324     0.31653   -0.44287    0.30271   -0.013176
 -0.365     -0.62942   -0.0053265 -0.1942     0.6366     0.3765
 -0.98731   -1.6796    -0.31415   -0.054224  -0.90695    0.17036
  3.4054     0.38219    0.13579    0.38695    0.30863    0.23611
 -0.4158     0.66128   -0.022794  -1.0259     0.036685   0.52651
  0.17759   -0.24752    0.50828    0.18699   -0.13874    0.25994
  0.0064557 -0.19891  ]",RESTAURANT
combo,"[-0.33668  -0.21098  -0.04349   0.39923  -0.23345  -0.33965   0.32932
  0.090922  0.34749   1.0903    0.66418   0.083911  0.65397   1.188
 -0.21715  -0.1429   -0.11528   0.18538  -0.28318  -0.36821  -0.57162
 -0.5752   -0.49918   0.53423  -0.758     0.20321  -0.48305  -0.031777
  0.51877  -0.25143   1.1852   -0.013375 -0.30042   1.4184    0.83377
  0.65372   1.3425   -0.24478  -0.44795  -0.48113   0.68468   0.64108
 -0.3318   -0.54965   0.10794  -0.061167  0.38477  -0.35296  -0.25288
  0.86439 ]",RESTAURANT
service,"[ 0.13409   0.68926   0.45086   0.052204 -0.30604  -0.5801   -1.128
 -0.030769  1.0378   -1.3936    0.18124   0.38504   0.27184  -0.1356
 -0.19343  -0.40629  -1.5941    0.33679  -0.035998 -0.10354   1.0248
 -0.036901 -0.58559   0.51458  -0.1289   -1.6363    0.042835 -0.71684
  0.23651   0.34811   3.5559    0.38361   0.087215 -0.49308  -0.24096
  0.24726   0.59281  -0.37768  -0.23602   0.2935    0.93289  -0.24058
  0.24401   0.23104  -0.62022  -0.16006  -0.40435   0.29695  -0.006097
  0.94897 ]",SERVICE
dish,"[ 0.6081    0.44372  -0.63146   0.65221   0.64601   0.3152   -0.28276
  0.037286 -0.21367   0.043012 -0.034488  0.088242  2.2764    1.4614
 -0.42342   0.4265   -0.24682   0.74566  -0.24804  -0.35382   0.50347
 -0.42972   1.0712    0.72652   0.32316  -0.34346  -0.64702   0.77634
  1.0111   -0.24638   2.0657    0.14252  -0.61208   1.3094   -0.41764
  0.53215  -0.41496   1.8847    0.23198  -0.48831   1.6187    0.75319
 -0.44197   0.36896   0.14338   1.026     0.11812   0.2701   -0.095481
  0.46032 ]",FOOD
case,"[ 7.0055e-01 -2.4096e-01 -3.3380e-01  7.3864e-01  5.8329e-01  1.0312e+00
  4.3613e-01  3.1255e-01  4.5034e-01  2.1358e-02 -2.5161e-01  1.6425e-01
 -7.7754e-01 -2.8402e-01  1.3371e+00  8.7065e-02 -4.6043e-01 -5.1812e-01
 -4.0278e-02 -4.1397e-01  7.9169e-02  1.1025e-01  1.3596e-01  1.1033e-03
 -4.1198e-01 -2.7956e+00 -3.3211e-01  3.4829e-01  3.7349e-02 -2.3781e-01
  2.6114e+00 -1.2500e+00 -4.4898e-01 -1.1932e+00  2.9551e-01 -5.4908e-01
  2.8867e-01 -1.9626e-01  3.5766e-01 -3.3546e-01 -3.9585e-01  4.9496e-01
  4.9102e-01  7.5183e-01  1.6829e-01 -5.8578e-02 -5.3019e-02  2.9408e-01
  1.7447e-01  1.5313e-01]",SERVICE
receipt,"[ 0.05906    0.25116    0.25254   -0.29082    1.3191     0.17451
  0.017658   0.27586    1.1965     0.29324   -0.0073912  0.41266
  0.74486   -0.58936    0.83245   -0.10258   -1.3124    -0.70044
  0.80087   -0.1737     1.5859    -0.4772     0.2544    -0.30459
 -0.30666   -0.78064   -0.41329    0.34832    0.61435   -0.60394
  0.50193   -0.16734   -0.21482    0.2961     0.28837   -0.21793
  0.78172    0.1886     0.040639  -0.30446    0.99594   -0.69304
 -0.094086   0.52361   -0.98804   -0.66867   -0.097996   1.3642
  0.67438   -0.1901   ]",RESTAURANT
staff,"[ 1.9965e-01  1.8259e-01  4.5203e-01 -3.8073e-01  4.2460e-01 -1.0827e+00
 -8.1912e-01  3.7555e-01 -2.7000e-01 -2.0676e+00 -2.7578e-01  4.0208e-01
 -2.3501e-01 -1.4692e-01  4.0392e-01 -4.3921e-01 -5.1240e-01  3.7545e-01
  3.4479e-01 -6.7056e-01  2.5954e-01  4.9982e-01  3.0296e-01 -2.7552e-01
 -5.1533e-01 -1.1427e+00  1.0088e-01 -5.9458e-01 -7.8148e-01  3.9514e-01
  2.8560e+00  3.4101e-01  1.2617e-01 -9.4159e-01 -5.3449e-02  9.3241e-01
  3.3466e-01  6.0386e-02  5.1470e-01  3.8846e-01  1.4532e-01  6.7732e-01
  1.9749e-04 -1.0837e-01  3.4877e-01 -5.7684e-01 -7.4497e-01  7.2435e-01
 -9.0866e-01  1.5056e+00]",SERVICE
screens,"[ 0.5021    -0.31718    1.4485     0.25335    0.32132   -0.64733
  0.066317  -1.297      0.097368   0.18757   -0.2313    -0.80908
  0.37859    1.4153     0.45417    0.67566   -0.83022    0.0082644
 -0.83984   -1.3366     0.94874    0.091413  -0.0063753  0.24071
  0.12047   -0.01077   -0.38486    0.66      -0.19749   -0.83885
  1.9446     0.61287    0.71088   -0.76174   -0.59288    0.65053
  0.73676    0.04187   -1.0381    -0.66258    0.69526    0.71955
  0.12613    0.56082   -0.31777    0.82399    0.57957   -0.65655
 -0.63787   -0.62732  ]",AMBIENCE
price,"[-0.44954   0.11784   0.65071  -0.042841  0.58203  -0.12502  -0.17475
 -0.79379   0.20936   0.67822  -0.07809   0.21738  -0.38139  -0.99193
  1.1904    0.84296  -0.077351 -0.59403  -0.56399  -1.325     1.359
 -0.63021  -0.21871  -0.49675  -0.50683  -1.1777   -0.142     0.13053
  0.8583    0.93815   3.1927   -0.070536  0.97513   0.86562   0.78035
 -1.2842   -0.19745  -0.19072   0.23972  -0.61404  -0.085975  0.54901
  0.48752   0.15015   0.24876  -0.24506   0.24964   0.45262   0.40169
  0.67247 ]",RESTAURANT
chicken,"[ 0.17635   -0.93169   -1.349      0.026151   0.82341    0.56831
 -0.090893  -0.21644    0.55252   -0.23997   -0.44371    0.053599
  1.6304     0.67765    0.52136    0.14899   -0.0065463  0.56455
 -0.3769     0.084988   0.53783   -0.76717    1.4227     0.66957
 -0.63078   -0.79918    0.02183    0.78265    1.077     -0.87267
  2.1885     0.13677    0.01664    2.0869    -0.47239    0.45255
 -0.07891    1.0197     0.80588   -0.41744    0.31297    0.42592
  0.11718    0.058471   1.5488     1.3478    -0.34131   -0.34141
 -0.28114    0.79018  ]",FOOD
problem,"[ 0.75068   0.053127  0.054627  0.072503 -0.12021   0.82717   0.19641
 -0.31173   0.36422  -0.33243   0.25289   0.34691  -0.96921  -0.26156
  0.95127   0.61605   0.36543   0.19097   0.55571  -0.484    -0.76125
 -0.26584  -0.2207    0.33209   0.79446  -1.8817   -0.13826   0.34505
  0.79296   0.48838   3.2986    0.17404  -0.072425 -0.88681  -0.31277
  0.30916  -0.32531   0.10031   0.69906   0.22572  -0.58385   0.36805
  0.063336  0.88716   0.25599   0.15023   0.54539   0.97436   0.27401
  0.10775 ]",SERVICE
addition,"[ 3.8028e-01  6.8301e-01 -5.7183e-02  1.2286e-02  5.4211e-02  5.4306e-01
 -5.4647e-01 -4.5690e-01  1.8634e-01 -4.8368e-02 -1.0198e-03 -1.1101e-02
  2.6490e-01 -1.7663e-01  9.9001e-02 -3.0415e-01 -1.1150e-01  2.3445e-01
 -1.0184e-01 -5.3756e-01  5.6691e-01 -3.5934e-01  1.2827e-02 -6.6551e-02
 -6.2067e-01 -7.2556e-01 -7.3007e-03 -4.3939e-01 -2.3023e-01 -7.1584e-02
  3.3474e+00 -3.9583e-02  2.3571e-01 -6.9037e-01  4.4126e-01  5.1390e-01
  3.1535e-01  2.2067e-01 -1.7468e-01  2.6215e-01  9.8600e-02  1.1647e-01
  2.3097e-02  3.0304e-02  2.0432e-02 -5.5421e-02 -2.5051e-01  1.9445e-01
 -4.9512e-01  3.1249e-01]",AMBIENCE
time,"[ 0.02648    0.33737    0.065667  -0.11609    0.41651   -0.21142
 -0.69582    0.2822    -0.36077   -0.13822    0.012094   0.086227
 -0.84638    0.057195   1.1582     0.14703   -0.0049197 -0.24899
 -0.96014   -0.3038     0.23972    0.21058    0.40608    0.17789
  0.55253   -1.6357    -0.17784   -0.45222    0.45805    0.14239
  3.7087     0.40289   -0.4083    -0.29304    0.030857  -0.15361
  0.10607    0.63397    0.12397   -0.25349   -0.10344    0.0069768
 -0.17328    0.35536   -0.46369    0.15285    0.41475   -0.3398
 -0.23043    0.19069  ]",SERVICE
orange,"[-0.42783   0.43089  -0.50351   0.5776    0.097786  0.2608   -0.68767
 -0.31936  -0.25337  -0.37255  -0.045907 -0.53688   0.97511  -0.44595
 -0.50414  -0.086751 -1.0645    0.36625  -0.52428  -1.3413   -0.2391
 -0.58808   0.56378  -0.062501 -1.7429   -0.88077  -0.27933   1.4705
  0.50436  -0.69174   2.0018    0.26663  -0.85679  -0.18893  -0.021125
 -0.055118 -0.50337  -0.67157   0.55502  -0.8009    0.10695   0.1459
 -0.55588  -0.64971   0.22046   0.67415  -0.45119  -1.1462    0.16348
 -0.62946 ]",RESTAURANT
friday,"[ 1.8662e-01  6.7127e-02  3.8229e-04  7.6014e-01  2.8230e-01 -8.8887e-01
 -9.1646e-01  7.2183e-01 -4.9941e-01 -7.0910e-01 -5.4087e-01 -1.3931e+00
 -5.8025e-01  1.1655e-01  1.0418e+00  2.2380e-01 -1.0469e+00 -9.9934e-01
 -1.0458e+00 -2.1549e-01  7.6534e-01  7.9005e-01  1.4230e-01 -6.0267e-01
 -1.2947e-01 -1.8723e+00  8.3530e-01  6.2041e-01 -5.6746e-01  3.6318e-01
  3.3267e+00  3.1949e-01 -5.2658e-01  2.8315e-01 -8.3197e-02 -8.0747e-01
  6.1692e-01 -1.2072e-01  9.3655e-02  6.4635e-02 -4.3167e-01  5.1476e-01
  1.5098e-01 -6.7811e-01  7.0425e-01  2.8311e-01 -4.9562e-01  7.5489e-01
  2.8522e-01 -3.5622e-01]",RESTAURANT
disappointment,"[-0.12075    0.49611   -0.2996     0.21004    0.17611    0.15177
  0.20645    1.3537    -0.3639     0.50933   -0.16116   -0.16111
 -0.73198   -0.64595    0.59899    0.037577   0.036738  -0.60581
 -0.32805   -0.82279   -0.34472    0.35566   -0.12116   -0.87063
  0.88517   -1.1783    -0.676      0.77105    0.10557    0.58188
  1.6402     1.043      0.78955   -0.29557   -0.67104   -0.82855
 -0.14451   -0.39977    0.0034455 -0.94296   -0.28307   -0.15894
 -0.79106   -0.18104    0.31678    0.55777   -0.4544     1.0946
  0.16742   -0.43065  ]",RESTAURANT
