sentence,polarity,subjectivity
Has no gluten-free options,0.0,0.0
"Was served food without any sauce at all.
Yakinikun was ground beef",0.0,0.0
of shredded meat,0.0,0.0
Fantastic good service and food,0.55,0.75
"Good food, fast service
BEA …",0.44999999999999996,0.6000000000000001
Always good at Chopchop,0.7,0.6000000000000001
"this time I got less food for some reason and they also did not ask if we wanted soy, chopaticks, sambal etc",-0.16666666666666666,0.06666666666666667
we had to ask for it after we saw that it was not in the bag,0.0,0.0
"Crowded between the tables, the food was okay.",0.5,0.5
Nice and fast staff and good vegan diet,0.5,0.7333333333333334
Surprised at how good the food has become..a clear improvement than a few years ago …,0.175,0.49583333333333335
Spicy lime chicken is really recommended!,-0.175,0.575
I think the dishes are terribly good,0.7,0.6000000000000001
"as in my case, order to take me home and be forced to stand and wait at least 15 minutes for my noodles to be packed until the dish is ready and packed",-0.13333333333333336,0.3666666666666667
This means that …,0.0,0.0
Too much sugar in the food for my taste,0.2,0.2
"Had been better if you could customize individually, much like salty ones",0.35,0.35
"Fast and good service, the environment is anything",0.44999999999999996,0.6000000000000001
cozy,-0.19999999999999998,0.75
I'll go somewhere else next time,0.0,0.0
"Found several hairs in the food, different sizes, just like the beard, the staff showed and she said they come from plates",0.0,0.3
expensive prices compared to quality,-0.5,0.7
Never coming back,0.0,0.0
Worst service …,-1.0,1.0
Well received and good,0.7,0.6000000000000001
Really good fresh and good food,0.5666666666666667,0.5666666666666668
"Two stars for the food, quite tasteless.
Dirty tables",-0.6,0.8500000000000001
Lazy staff who were nonchalant,-0.25,1.0
"For me who likes a lot of taste had hoped for more, But very tasty and seems to have fresh ingredients, Recommend",0.3333333333333333,0.43333333333333335
Eats well and not so expensive.,-0.5,0.7
Very staff,0.2,0.3
really poorly organized,-0.4,0.6
Three people picking at the drive,0.0,0.0
we are five people in line,0.0,0.0
"After 20 minutes of ""We will help you soon"" we went .",0.0,0.0
"Good, fast and well-cooked!",0.475,0.6000000000000001
Short waiting time,0.0,0.3
"Very good, the interface with the customer in the screen is not optimal, after 3-4 visits it is",0.9099999999999999,0.7800000000000001
"semi-tricky to understand how the menu is structured, makes the menu more intuitive then it is 5 stars directly",0.3,0.45
"My son forgot about a buff 1 week ago and the staff promised to send it to us,",0.0,0.0
we haven't received it,0.0,0.0
We agreed that she would send the same night we were talking to and that she would notify me of what it would …,0.0,0.125
Got more food before! Don't know m it's just me who likes it,0.625,0.5
"But a few years ago there were larger portions, on a large combo it is the same amount as a small one it feels like",-0.047142857142857146,0.31071428571428567
Maybe less if you take the takeaway! …,-0.20833333333333331,0.06666666666666667
"A lot of food, often enough for two meals for someone who doesn't eat that much",0.1,0.35
"Got a little expensive for my wallet after a few price increases so it won't be my first choice if I want fast food, unfortunately .",-0.15625,0.5388888888888889
Very fresh and really good! Humane prices.,0.6325000000000001,0.625
"Have always thought that the food has been such,",0.0,0.5
"not so fond of meat.
But now they had new dishes, Sichuan no chicken was the go-to place",0.21818181818181817,0.7022727272727273
Have always,0.0,0.0
"t that the food has been such, but not so fond of meat.
But now they had new dishes, Sichuan no chicken was the go-to place",0.14545454545454545,0.6348484848484849
The world's best ChopChop!,1.0,0.3
Chop chop should be in town as well,0.0,0.0
otherwise the food is really good,0.7,0.6000000000000001
Chop chop should be in town as well but,0.0,0.0
the food is really good,0.7,0.6000000000000001
HIGHLY RECOMMEND …,0.16,0.5399999999999999
It is a perfectly okay place and has a nice and knowledgeable staff,0.55,0.75
Their deep-fried snack box is miles better than Kentucky Fride chicken ..,-0.04999999999999999,0.725
Poor service and lots of flies around the food,-0.4,0.6
Waited for over 10 minutes to order,0.0,0.0
the girl behind the counter talked privately with another customer,-0.2,0.5375
Tired of closure and left,-0.2,0.35
A bit expensive for being fast food (105 SEK) and a little poorly cleaned (more dirty than clean tables),-0.08869047619047618,0.6285714285714287
really good food! We tested two of their 3 wall dishes,0.875,0.6000000000000001
"Love the chopchop, good food, fast service and friendly staff",0.44375,0.5750000000000001
"First ChopChop I've been to that serves on real plates, big plus.
Unfortunately a very tight and cramped room",0.054464285714285715,0.2761904761904762
Not the best and not the worst Asian food,0.0,0.43333333333333335
"However, I was disappointed that it is worse than my local Thai kiosk",-0.3833333333333333,0.45
But it gives an Asian option for fast food which is good according to me,0.3,0.4000000000000001
Good and friendly staff would really recommend this place,0.425,0.43333333333333335
The most important thing is the good food they make,0.5333333333333333,0.7000000000000001
The food is delicious!,1.0,1.0
Undoubtedly the best fast food restaurant,0.6,0.44999999999999996
"Instead of ordinary burgers or sausages with mash, Asian cuisine is served in fast food format",-0.016666666666666663,0.3666666666666667
"Highly recommended, especially for families with children",0.08,0.77
Two of the Tofu …,0.0,0.0
"Good food,",0.7,0.6000000000000001
"when they are many customers, I experience it as if the system they use does not work optimally ..",0.5,0.5
Nice o happy staff,0.7,1.0
Good food,0.7,0.6000000000000001
unfortunately too many times where the tables are forgotten to be dried so they are sticky to the next guest,-0.05,0.525
"To be fast food, this was sickly good! Went quickly to get the food and it tasted okay! Choose this place over all the other fast food places! Very nice staff! …",0.44761904761904764,0.5964285714285715
Oh oh oh very good,0.9099999999999999,0.7800000000000001
"All of these are identical and taste as expected
You already know beforehand how it should taste, which is good",0.3,0.5
Ordered take away two menus,0.0,0.0
only got cutlery for one so it became difficult to eat,-0.25,1.0
"extremely nice staff, the food is not good",0.125,0.8
it is not on chochop,0.0,0.0
"Lots of food, which was really good .",0.7,0.6000000000000001
Likes to turn in when the roads pass by .,0.0,0.0
Lots to choose from,0.0,0.0
Nice guy at checkout,0.6,1.0
Unfortunately badly cleaned in the premises and especially the toilet,-0.24444444444444438,0.5555555555555555
The food is good,0.7,0.6000000000000001
ordering and paying in the restaurant sucked,0.0,0.0
Will be drive thru next time …,0.0,0.0
"Great food, friendly staff",0.5875,0.625
It's strange that it can take so long to serve fast-cooked foods,-0.05,0.275
But it was really good,0.7,0.6000000000000001
Always just as good,0.7,0.6000000000000001
"Nice indoors, a little less seating in these covid times",0.08194444444444444,0.5222222222222223
Lots of dishes and leftovers on the tables even,0.0,0.0
we were the only customers,0.0,1.0
Lots of dishes and leftovers on the tables,0.0,0.0
we were the only customers,0.0,1.0
"Ordered Cashew Chicken, Wondering where the nuts went",-0.6,0.95
"There were 2.5 nuts.
Gumman took Snacksbox Large",0.21428571428571427,0.42857142857142855
No place for me! Flies in food and hairs,0.0,0.0
Like going into a sauna to eat in there,0.0,0.0
Very expensive and poor service by the staff …,-0.525,0.7549999999999999
"They taste good and go fast to get the food, E-tuna is better than theirs in S-nose",0.4666666666666666,0.5666666666666668
Very good! …,1.0,0.7800000000000001
"Good options on the menus, good food and good service",0.6999999999999998,0.6000000000000001
"However, keep in mind that you get more food when you buy a small menu at take away than one in between, need not be bad;) …",-0.04999999999999996,0.6416666666666666
Lots of people,0.0,0.0
with respect for distance,0.0,0.0
Good food fast …,0.44999999999999996,0.6000000000000001
We tried springrools and a snack box for lunch very good and reasonably priced …,0.5549999999999999,0.6900000000000001
"Top food that is flavor filling and warm, feels that the food is usually cold at fast food restaurants,",0.17500000000000004,0.675
at chop chop it is warm and tasty ❤ …,0.6,0.6
Have eaten there several times,0.0,0.0
this time the food was fried,0.0,0.0
It will probably be long before I eat there again,-0.05,0.4
"Good food, large portions, quick to get the food and nice staff! Significantly better than the hamburger chains opposite",0.4162698412698413,0.5047619047619047
Uncomfortable furniture is the only thing that pulls down the grade,-0.21851851851851853,0.762962962962963
Both as picked up or jaw on site,0.0,0.0
The top that take away,0.5,0.5
Also available drive through,0.4,0.4
"We usually share a combo with two accessories, more than enough for two adults! …",0.08333333333333333,0.4166666666666667
Super friendly staff and wonderful food.,0.5694444444444444,0.7222222222222222
"Good fresh food, feels like they have snapped up!",0.5375,0.55
chop chop is very good! Super good food to be measured on and for me who are nut allergists they are very careful about how the food is handled👍🏻 …,0.47583333333333333,0.7616666666666667
Okay food at good price,0.6,0.55
But there was no fast food so to speak when we were there,-0.1,0.6
"Ordered oumph, got meat",0.0,0.0
Unreliable when staff are not aware of the difference,-0.125,0.25
Good food super service👍🏻,0.5166666666666666,0.6333333333333333
"They had a super good look at the vegan offerings and they were very nice!
They were good food too …",0.6770833333333333,0.7166666666666667
Great food to be fast food,0.5,0.675
Easy to drive through,0.43333333333333335,0.8333333333333334
They could hold back on the sugar in the food,0.0,0.0
,0.0,0.0
It's very sweet,0.45499999999999996,0.8450000000000001
"Good, fast and cheap",0.4333333333333333,0.6333333333333334
But can you expect a parking space outside? So that at least you can stop with big cars,-0.09999999999999999,0.18333333333333335
"Good asian food, usually go pretty fast to get the food except friday & saturday night because then the whole Eskilstuna seems to be there and fetch food",0.26999999999999996,0.52
There is also a drive thru,0.0,0.0
"There are enough worries in the staff, so long it took to get the food in the drive in !!! I didn't have time for that! …",-0.06103515625,0.45
Good food fast service,0.44999999999999996,0.6000000000000001
"Just check that it is the right food you get, it happens that it goes wrong 1 in 20 times …",-0.10714285714285715,0.7178571428571429
Good! But took a very long time in drive thru ..,0.405,0.56
Though there were only 2 cars in front …,0.0,1.0
"Awesome good food,",0.85,0.8
having to pay extra for sweet and sour sauce and soda is alarming for their development ...,0.024999999999999988,0.3625
Usually like,-0.25,0.25
this time very long wait.,-0.065,0.52
Favorite food,0.5,1.0
would have gotten a full pot if they had run out,0.35,0.55
Hard to get there without a driver's license …,-0.2916666666666667,0.5416666666666666
You make very good food,0.9099999999999999,0.7800000000000001
