sentence,polarity,aspects
"really ""love your food""",0.5,food
very kind staff ♥ ️ ♥ ️,0.8666666666666667,"kind, staff"
great food especially bangkok,0.4,food
very nice staff especially yaser joha,0.3,staff
yaser is a very nice person,0.6,person
always liked asian food,0.3,food
"my partner has several times suggested that we try chop chop and i was a little skeptical because i had not heard anything about the food.
but then on a sunny and warm day this summer, i gave in and we went here.
i was saved !! the food is divinely good, not to mention the chicken noodles and the orange chuck which are the favorites 👌🏼
love chop chop and more than happy to go here!",0.30625,"partner, time, try, chop, anything, food, day, summer, food, chicken, noodles, orange, chuck, favorites, love, chop, chop, happy"
great food this restaurant is family go to,0.8,"food, restaurant, family"
easy pick when you look for quick asian eat!,0.25555555555555554,pick
definitely above expectations for being an easily accessible and affordable fast food hook! very good :),0.365,"expectations, food, hook"
super nice staff in the drive!,0.5416666666666666,"staff, drive"
"always just as good food, decently fast in the drive and very good if you are gluten as they have a lot of gluten free.",0.5,"food, gluten, gluten"
chopchop is one of sweden's best restaurants with tasty dishes🤩🤩🤩🤩,0.75,"chopchop, sweden, restaurants, dishes🤩🤩🤩🤩"
good service from nice staff.,0.6499999999999999,"service, staff"
i appreciate that your restaurant has such wonderful staff,0.6,"restaurant, staff"
liked the staff more than the food.,0.6,"staff, food"
shops here many times and has always been just as happy,0.65,"shop, time"
their saigon bowl has been a huge favorite! has always been greeted by friendly staff and super good food! as i said the saigon bowl is magical :),0.5154761904761905,"saigon, bowl, favorite, staff, food, saigon"
"10/10 after all, sick nice staff and great food !!!",0.29523809523809524,"staff, food"
super nice staff!,0.5416666666666666,staff
super good food 😍👍🏻,0.5166666666666666,food
friendly staff! good food!,0.671875,"staff, food"
"good and fresh food, friendly staff.",0.4583333333333333,"food, staff"
very good food and friendly staff.,0.5375,"food, staff"
good and good food with very nice staff 👌🤗,0.6666666666666666,"food, staff"
always good service and friendly staff,0.5375,"service, staff"
good food at a good price! recommended!,0.8583333333333334,"food, price"
a little long time in the drive though,-0.11875,"time, drive"
clean and very good staff,0.5333333333333333,staff
excellent service and exceptionally good food,0.85,"service, food"
fast and good,0.44999999999999996,
yaser is the best,1.0,
"good food, good service",0.7,"food, service"
"it was the best food i have eaten in a while the karage was tasty, the staff were the nicest people ever i will come again!",0.8125,"food, staff, people"
great asian fast food,0.3333333333333333,food
"love the noodles and fresh place.
definitely worth a visit.",0.3666666666666667,"love, noodles, visit"
good service and good food,0.7,"service, food"
very good food and very nice staff! fast service!!,0.5875,"food, staff, service"
"was there and ate here the other day, very good and nicest staff of all chop chop i went to",0.7,"day, staff, chop, chop"
very reluctant staff,0.0,staff
very good service !!!,1.0,service
sooo nice staff and good food 😍 highly recommend,0.7666666666666666,"staff, food, 😍"
"good food, a little long wait sometimes",0.15416666666666665,"food, wait"
cannon! good food and friendly staff,0.5375,"cannon, food, staff"
always good food and good hospitality,0.7,"food, hospitality"
always good food 🍜 and ten in the top for nice and fresh toilets 👌,0.41999999999999993,"food, toilets"
"always just as nice, no matter who works!",0.75,
very good food .a bit boring place to eat in,0.09999999999999998,"food, .a, bore, place"
best is driven through,1.0,drive
super nice staff!,0.5416666666666666,staff
very good food and friendly staff,0.5375,"food, staff"
good hospitality and the best food in town ☆☆☆☆☆,0.85,"hospitality, food, town"
here we are every friday.,0.0,friday
"without chop chop, there is no friday coziness",-0.3,"chop, chop, friday, coziness"
"ate here many times, delivers every time! can be a lot of people sometimes,",0.625,"time, time, people"
they are a plus in a way.,0.0,
best fast food i've eaten.,0.6,food
"easy, fast and good!",0.5027777777777778,
very good taste,0.7,taste
it really feels like you're in asia,0.4,
my favorite must probably be spicy chicken where it is perfect,0.5,"must, chicken, perfect"
a strong 5/5,0.4333333333333333,
"top food, good service 👍",0.6,"food, service"
"very good food, fast service, nice environment and nice welcome !!",0.62,"food, service, environment, welcome"
the noodles are really good!,0.875,noodles
lots of choices.,0.0,"lot, choices"
"good food, as usual",0.22499999999999998,food
want a little more crispy on the chicken (spicy lime chicken and orange chicken),-0.046875,"chicken, lime, chicken, orange, chicken"
not on top this time,-0.25,time
"even though it was a bit soggy, it tastes good",0.7,taste
go food and nice treatment of staff ..,0.6,"food, treatment, staff"
"very good food.
the rice is perfect and the cashew chicken is extremely filling and tasty.",0.41500000000000004,"food, rice, cashew, chicken"
staff very boring!,-0.625,"staff, bore"
good for what it is,0.7,
"you will never be disappointed, good food again and nice premises 👍",0.26666666666666666,"food, premise"
good service and food,0.7,"service, food"
"quite the right person in the right place, to be happy by ordering food is as nice as can be ♡",0.4928571428571429,"person, place, order, food"
"good food, fast service and super nice staff!",0.4958333333333333,"food, service, staff"
really stingy with food and unpleasant staff,-0.625,"food, staff"
good vegan options! clean and fresh!,0.5388888888888889,options
best place to enjoy good food :),0.6499999999999999,"place, food"
i find the prices a little steep for a fast food feeling establishment,0.0062500000000000056,"price, food, feel, establishment"
food is tasty with good flavors and good size on the portions,0.6333333333333333,"food, flavor, size, portion"
service is lacking,0.0,"service, lack"
i guess that what happens when almost all ordering is through a screen,0.0,"order, screen"
makes it difficult and bothersome to ask staff while at a terminal.,-0.5,
always just as good 😊,0.7,
better than expected,0.5,
really good food,0.7,food
"fast cooking, polite",0.2,"cook, polite"
"busy staff, clean restaurant and fresh toilets.
prices can be a bit high, and expect long queues at the lunch rush.

overall nice fast food restaurant.",0.20958333333333332,"staff, restaurant, toilets, price, queue, lunch, rush, food, restaurant"
you should be able to get better meat and chicken in the dishes.,0.3333333333333333,"meat, chicken, dish"
"clean, fresh and covidan-adapted with covered tables where you were not allowed to sit",0.33333333333333337,"cover, table, sit"
"as usual, the food at chopchop is very good and it was quick to get the food",0.26111111111111107,"food, chopchop, food"
larger portions with rice than on more other chopchop which is appreciated.,0.1,"portion, rice, chopchop"
"beef with bamboo, mushrooms leeks",0.0,"beef, bamboo, mushroom, leeks"
very good taste.,0.7,taste
"cold food, one piece of chicken tasteless, the next perfectly on, the next completely soaked in spice, yes you understand ..",-0.18333333333333332,"food, piece, chicken, spice"
"no pleasant experience, do not recommend.",-0.43333333333333335,experience
cold food and no immediate taste.,-0.6,"food, taste"
good cheap fast,0.43333333333333335,fast
no taste at all in the food,0.0,"taste, food"
not worth the money.,-0.15,money
good food and friendly staff,0.5375,"food, staff"
"the food has gotten worse, was better when it started.",0.06666666666666665,"food, start"
"fresh decor, well-stocked food",0.3,"decor, food"
liite for long waiting time,-0.05,"wait, time"
"flexible, cheap and good",0.55,
waited 10 minutes for drive-thru before giving up,0.0,minutes
the rating is thus for the service in drive-thru,0.0,"service, drive-thru"
an ordinary chopchop,-0.25,chopchop
"do not get all the food you order, very careless",-0.5,"food, order"
"once it gets right, it's all right",0.2238095238095238,
ordered and took home,0.0,order
"my friend got the right things.
but in my box it was wrong.
had ordered orange chicken with noodles.and got lime chicken which is strong and rice",0.059863945578231284,"friend, box, order, orange, chicken, noodles.and, lime, chicken, rice"
my second dish was as it should be.,0.0,dish
"no idea to pre-order, the staff has no sense to realize, that once you get to the door, the food should be ready",0.2,"idea, sense, door, food"
well here you,0.0,
have to stand and wait,0.0,wait
"uselt!
in addition, you start to think about the small portions compared to the price.",-0.25,"addition, start, portion, price"
good asian fast food,0.3,food
the saigon bowl is very good.,0.7,saigon
"soy, fried, rice, all tastes the same",0.0,"soy, fry, rice, taste"
it's all a bit good,0.7,
