sentence,polarity,aspects
"well, it is absolutely 10/10 👍(my experience)
1- tasty food and unbelievable large quantity
2- very fast service (i have my meal in just a glance) (at not busy time)
3- friendly staff
4- clean, big and cozy  place
5- easy to reach
6- very good price in comparison with the others.
-i consider my self as a person who eats too much, and i was struggling to finish my meal.
-i ordered a chicken shawarma with rice",0.23494897959183675,"experience, food, quantity, service, meal, glance, time, staff, place, reach, price, comparison, others, -i, self, person, struggle, finish, meal, -i, order, chicken, shawarma, rice"
"it came warm, with different kind of entrees and you can pick up what you want of simple salads and warm bread.
midan; thank you so much ❤️🌹",0.3333333333333333,"entrees, pick, salads, bread, ❤️🌹"
"tried their shish chicken tonight, sooo good !!!!",0.5,"chicken, tonight"
"amazing restaurant, cleanliness, excellent food",0.7,"restaurant, cleanliness, food"
very nice atmosphere and staff,0.6,"atmosphere, staff"
i will be back with great pleasure!,0.5,pleasure
"i understand that it went wrong with let's deal,",-0.5,"let, deal"
then you have to make sure to solve it on the spot and then fix it with them afterwards,0.5,"spot, fix"
really inflexible and bad service to send their customers home without food and ask them to contact let's deal instead of writing down a code and a name - give us the food we paid for and then solve it ourselves with those who caused the problem (let 'deal according to your),-0.4666666666666666,"service, send, customers, food, contact, let, deal, code, name, food, pay, cause, problem, accord"
satisfied customers are apparently not a priority here,-0.025,"customers, priority"
"in addition, there is not even a phone number to reach you to neither book",0.0,"addition, phone, number, reach, book"
oh wow! midan is gonna be my favourite restaurant of all time in stockholm!,0.15625,"midan, restaurant, time, stockholm"
"big portions, fast service",0.1,"portion, service"
good place and food are good,0.7,"place, food"
recommend their sandwiches,1.0,sandwich
both good and filling,0.7,fill
"got the classic chicken wrap, and food poisoning",0.08888888888888889,"chicken, wrap, food, poison"
"a syrian restaurant in all senses of the word, excellent, excellent",1.0,"restaurant, sense, word"
pretty good food at a pretty good price,0.475,"food, price"
"the place its clean, food are good, and tasty😍",0.5333333333333333,"place, food, tasty😍"
where did the syrians go to create a restaurant in sweden?,0.0,"syrians, restaurant, sweden"
"good food and if you are hungry it is the right place, maybe more quantity than quality",0.49523809523809526,"food, place, quantity, quality"
"the food was served on pizza plates, which in our case looked a bit grotesque in the amount of food",-0.55,"food, pizza, plat, case, food"
"again, good food.",0.7,food
looks like they don't care about restrictions for covid-19.,0.6,"care, restrictions, covid-19"
sanitizers which are available in public areas was empty or not working..,0.10000000000000002,"sanitizers, areas"
simply the best.,1.0,
good price quality,0.6,"price, quality"
very good food,0.7,food
needs clean better,0.43333333333333335,
took 1h to get a dessert that takes 5min to make,0.0,"1h, dessert, 5min"
fresh and tasty too,0.4,
"large portions and good price.

very cosy place.",0.45714285714285713,"portion, price, place"
"i really did not like their food ,it is too much without taste .they take care of quantity not quality .",-0.2833333333333333,"food, taste, .they, care, quantity, quality"
good selection of grilled dishes,0.7,"selection, grill, dish"
have rebuilt so they cook the food on the lower level,0.0,"cook, food, level"
"this dish is based on chickpeas with various sauces, tahini, lemon, yogurt, pomegranate seeds, freshly baked pita bread",-0.16666666666666666,"dish, base, sauce, tahini, lemon, yogurt, pomegranate, seed, pita, bread"
"fresh and tasty, something called laban 👻",0.4,"laban, 👻"
"best service, fresh and good food, i recommend",0.75,"service, food"
"from malmö, they are very kind and the food is very good",0.6499999999999999,"malmö, kind, food"
good prices and amazing food! loved it,0.5666666666666667,"price, food, love"
"chicken shawarma is the best, i didn't like the beef one.",0.5333333333333333,"chicken, shawarma, best"
"very nice restaurant, clean, cozy, oriental style..good luck",0.5166666666666666,"restaurant, style, luck"
"dry meat, far too expensive, staff just staring at each other",-0.15555555555555556,"meat, staff, star"
peculiar order variant,0.0,"order, variant"
they do not handle table drying and floor sweeping.,-0.06666666666666665,"table, floor, sweep"
"very good, a lot of people so it took a while to get the food",0.7,"people, food"
it is inevitable and everyone was nice.,0.3,everyone
"the food is not good and the price is expensive, i regretted going for it",-0.425,"food, price, regret, go"
amazing food and price,0.4,"food, price"
very good food,0.7,food
"very tasty food.
worth the money.",0.4,"food, money"
one of stockholm's most affordable restaurants,0.0,"stockholm, restaurants"
here you never leave hungry.,-0.5,
"nice decoration, fast and nice service.
likes the food sharply",0.375,"decoration, service, food"
"for a lebanese person visiting from london, giving this review to a syrian restaurant doesn’t come easy:  super authentic, fresh, succulent, well priced, and excellent friendly service",0.49027777777777776,"person, london, review, restaurant, price, service"
bravo chabebs!  your mothers would be proud…,0.0,mother
great food very good service  amazing 🤩,0.6333333333333333,"food, service"
really like medan special and shish kebab,0.47857142857142854,kebab
doner kebab it's too much for not fun anymore and not gonna try,0.02500000000000001,
over all good place.,0.7,place
very good oriental restaurant,0.7,restaurant
"large, spacious and very clean.",0.2904761904761905,clean
the chicken roll was fresh with plenty of vegetables and just enough sauce,0.09999999999999999,"chicken, plenty, vegetables, sauce"
"much better than a ""normal"" kebab.",0.325,kebab
a go to restaurant for excellent arabic levant dishes.,1.0,"restaurant, levant, dish"
among the best in stockholm.,1.0,stockholm
really good shawarma plate,0.7,"shawarma, plate"
the lamb was magical and i like how to pick salad and sauces yourself,0.55,"lamb, pick, salad, sauce"
ver delicious halal food,1.0,food
big portion of food.,0.0,"portion, food"
"lovely syrian food, shawrma is the best",0.75,"food, shawrma, best"
"best kebabtallrik in whole of sweden 👌pickles aside, very genuine quality 100%.",0.525,"kebabtallrik, sweden, 👌pickles, quality, %"
got two long strands of hair in my kebab roll,0.025,"strand, hair, kebab, roll"
go for the midan shawarma,0.0,shawarma
you won't be disappointed.,0.0,
it was was a good eatery,0.7,eatery
large and beautifully decorated plates,0.5321428571428571,plat
nice and clean rooms and nice toilets.,0.5222222222222223,"room, toilets"
fail like any foreign restaurant in stockholm,-0.00833333333333334,"restaurant, stockholm"
unfortunately not so cozy environment!,-0.25,environment
lovely food and very good service and nice staff😃.,0.6,"food, service, staff😃"
"very delicious food and the staff who work there are very nice.
recommended",0.8666666666666667,"food, staff, work"
"classy, ​​beautiful, and excellent food, the taste is not the best",0.20000000000000004,"food, taste"
best restaurant in stockholm,1.0,"restaurant, stockholm"
have school lunch here every day,0.0,"school, lunch, day"
you feel very safe when the staff pays attention to their customers💯💪👍,0.5,"staff, pay, attention, customers💯💪👍"
huge portion of food and really good price,0.55,"portion, food, price"
"maybe not the best place for a romantic date, a bit overcrowded",-0.25,"place, date, overcrowd"
very generous portions,0.0,portion
ordering via screens and payment with swish,0.0,"order, screen, payment, swish"
on the lower floor you can pay by card.,0.0,"floor, pay, card"
unfortunately the first experience of the restaurant was very bad,-0.22499999999999992,"experience, restaurant"
i got poisoning after eating and the way the meal was served was very bad,-0.29999999999999993,"poison, meal"
shawarma is very good 👍,0.7,shawarma
"nope, food is ok",0.5,food
"the hygiene is 0/10
would not recommend till they give more attention to cleanliness.",-0.5,"hygiene, attention, cleanliness"
chicken shawarma was perfectly ok,0.25,chicken
the place did not feel like the cleanest,0.6,place
a bit of waiting time,0.0,time
the digital menu was unclear so i ordered a few extras that were already included in the dish,0.0,"menu, order, extras, dish"
the pace was very clean and the staff acomidating,0.3666666666666667,"pace, staff, acomidating"
will definitely come back again!,0.0,
"quick food preparation beautiful decoration and ideal space for family, couples or friends, machine orders",0.6944444444444445,"food, preparation, decoration, ideal, space, family, couple, friends, machine, order"
"advice: don't eat from the old and cold food court, and unfortunately we have poisoned",-0.3333333333333333,"advice, food, court"
"and after we told the guys in the restaurant, mardo is on us, i mean, tazo, and we paid 700 kroner and empty",-0.20625,"guy, restaurant, mean, tazo"
it was wonderful!,1.0,
nice place unfortunately small food portion,0.175,"place, food, portion"
"okay place, no further food",0.5,"place, food"
you get large portions,0.21428571428571427,portion
good food 😋😋,0.7,"food, 😋😋"
"the food is good,",0.7,food
"the price is a little expensive, especially since the drinks are not included in the order, but you must buy them separately, meaning a meal that costs about 135 crowns, compared to if you eat in another restaurant, the price of the meal will reach 110 in full.",-0.13,"price, drink, order, meal, cost, crown, restaurant, price, meal"
was driven away before we had eaten the food by staff who would wipe the table,0.0,"food, staff, table"
sickly disappointed and surprising.,-0.7142857142857143,surprise
the food was dry.,-0.06666666666666665,food
"nice place with good quality, one platter is enough for two people",0.44999999999999996,"place, quality, platter, people"
backed bread was also fresh and tasty.,0.26666666666666666,bread
good shawarma and falafel!,0.875,"shawarma, falafel"
very good food,0.7,food
delicious food large quantities nice place to sit in,0.6047619047619047,"food, quantities, place, sit"
the best arabic food restaurant in stockholm the food is great the service is good,0.8333333333333334,"food, restaurant, stockholm, food, service"
very good food and place,0.7,"food, place"
"the grill mix, kebbah and everything was so delicious",1.0,"grill, mix, kebbah"
definitely going to recommend it 👍,1.0,
a lot of expensive prices are not worth it,-0.325,price
"they may be expensive, meaning a shawarma sandwich, a falafel sandwich and a plate of potatoes 300",-0.40625,"shawarma, sandwich, falafel, sandwich, plate, potatoes"
"i swear to god, this is a monument to his name.",0.0,"god, monument, name"
and another thing to eat is not very good,-0.35,
one of the best restaurants in stockholm,1.0,"restaurants, stockholm"
very good arabic food,0.7,food
very bad service.,-0.6999999999999998,service
crazy portions with awesome jaw,0.2,"portion, jaw"
large selection and fast service.,0.20714285714285713,"selection, fast, service"
"the best restaurant !!
it was my first time trying syrian dishes and was fat good.
recommend!!",0.7375,"restaurant, time, dish, fat"
a huge fan of this place.,0.4000000000000001,"fan, place"
i strongly recommend.,1.0,
"awesome food,great ambience.",0.9,"food, ambience"
nice music..staff is kind and friendly.rest room is available and tidy.,0.55,"music, staff, kind, friendly.rest, room"
located close to odenplan station.,0.0,"odenplan, station"
if you ask me this is the best arabic food i have tasted.,1.0,"food, taste"
tried shawarma and fateh..yummy and worth it.,0.3,worth
have a good time guys.,0.7,"time, guy"
"fresh vegetables, well-seasoned meat and top-class service now that you can have a say through the screen.",0.3,"vegetables, meat, top-class, service, screen"
"the food was very good, me and my family are so happy with the good, fantastic taste in both kibab and chicken mums! 👍👍👍💐💐",0.52,"food, family, good, taste, kibab, chicken, mums"
we got a mix tallrik,0.1,"mix, tallrik"
"the portions are humongous, two people can easily get full",0.35,"portion, people"
"the prices are very cheap and the quality good! the environment is really beautiful now with the renovation, a bit too loud downstairs",0.545,"price, quality, environment, renovation"
the service is quick and the staff friendly! you can get extra salad,0.2673611111111111,"service, staff, salad"
nice presentation of the dishes,0.6,"presentation, dish"
totally recommend it!,1.0,
big portions for 110sek,0.0,"portion, 110sek"
the kebab has some extra seasoning than the typical kebab.,-0.08333333333333333,"kebab, season, kebab"
best kebab places in stockholm,1.0,"kebab, place, stockholm"
longer opening hours and very good food,0.35,"hours, food"
"very nice place, good food 👍",0.6499999999999999,"place, food"
"just decor, a little disturbing music",-0.1875,"decor, music"
have only tried the small dish with chickpeas,-0.25,"dish, chickpeas"
it was nutritious,0.0,
"totally acceptable shawarma, it is not as good as before and it is much smaller portions than before!
i had given the restaurant 5 stars two years ago",-0.11666666666666665,"shawarma, portion, restaurant, star, years"
"now 3 stars is all it deserves!
they had nice and fresh premises anyway",0.44999999999999996,"star, premise"
absolutely the best kebab in stockholm,1.0,"kebab, stockholm"
perfect with large portions and many accessories to choose from,0.5714285714285714,"portion, accessories"
you do not go hungry from there 👍.,0.0,👍
the food is very good,0.7,food
the staff should be better at cleaning after the guests,0.43333333333333335,"staff, guests"
especially in these difficult times,-1.0,time
"the price is very, very expensive, i mean, it is not reasonable that the location of the restaurant is nice and tidy,",0.057499999999999996,"price, location, restaurant"
"it is not so expensive, the shawarma sandwich from emta is 100 kroner, folks, and i swear to god that the restaurant is frankly not so easy, but it tastes below the middle and the prices are fire",0.011111111111111108,"shawarma, sandwich, emta, folks, god, restaurant, taste, price, fire"
"quite messy as you have to order take away and far too loud music, the staff is very nice.",0.15,"order, music, staff"
"good food and large portions, ok price.",0.47142857142857136,"food, portion, price"
felt like you were in the mediterranean the food incredibly good large portions of dogge bag to take home,0.5047619047619046,"food, portion, dogge, bag"
will be a place i will visit often,0.0,"place, visit"
damascus food in its best.,1.0,food
babylon's hanging gardens ..,0.0,"babylon, hang, garden"
like a movie set,0.6,"movie, set"
it would be sad with so much staff,-0.15,staff
"monstrous portions, which in turn means a lot of ""food waste"", when we",-0.25625,"portion, turn, food, waste"
"think about the environmental aspect, why not offer glass ist for paper and plastic.
the scholars from the regions may dispute about how kebabs should taste, here it was some seasoning (cumin?) that ruled, nor was it positive to a lukewarm dish and french fries with barbecue seasoning.",0.11363636363636363,"aspect, glass, paper, plastic, scholars, regions, kebabs, taste, season, cumin, rule, dish, fry, barbecue, season"
"monstrous portions, which in turn means a lot of ""food waste"", when we still think about the environmental aspect, why not offer glass ist for paper and plastic.
the scholars from the regions may dispute about how kebabs should taste, here it was some seasoning (cumin?) that ruled,",-0.25625,"portion, turn, food, waste, aspect, glass, paper, plastic, scholars, regions, kebabs, taste, season, cumin, rule"
was it positive to a lukewarm dish and french fries with barbecue seasoning.,0.11363636363636363,"dish, fry, barbecue, season"
"after the remake, the place is spacious, clean, and convenient",0.43333333333333335,"remake, place"
"didn't care much about the ""music"" they played,",0.2,"music, play"
the food is just as good and plentiful as before.,0.7,food
very nice management,0.6,management
i forgot my pods they kept and returned me my airpods,0.0,"pod, keep, return, airpods"
mango dream 😍,0.0,"mango, dream"
"just saying: best, tastiest food!
i ordered home delivery.
doubtful, as one should be.
gives every plus and every highest rating ever to this plateau",0.09999999999999998,"food, order, home, delivery, plus, rat, plateau"
not only for food,0.0,food
"also for service.
i paid for 1 extra sauce and got 3 extra!
a lot of meat in your own box, lots of thunder salad, also in your own box.
am really both damn happy and impressed",0.22000000000000003,"service, sauce, meat, box, lot, thunder, salad, box"
"👌
everything was not only damn nicely laid out",0.6,
"also delicious!
recommended at 1000%",1.0,%
these are professionals !! ❤🙏,0.0,professionals
"super tasty, huge plates that are hard to create",0.23541666666666666,plat
"free water as much as you want.
very cheap too",0.3333333333333333,"water, want"
what more do you want?,0.0,
"have been here several times,",0.0,time
have not been here since they redone,0.0,
it looks completely different,0.0,
the dining room downstairs is where the actual cooking is done and where you order,0.0,"din, room, cook, order"
love the new touch screens where you order and easily pay with swish,0.3565656565656566,"touch, screen, order, swish"
fantastic selection and fresh food,0.35,"selection, food"
the decor is fantastic with really lovely colors,0.45,"decor, color"
awesome good upgrade on the spot,0.85,"upgrade, spot"
not to mention the best: how much food you get for your money,0.6,"food, money"
you get a large plate with plenty of food,0.21428571428571427,"plate, plenty, food"
"then you can pour the sauce yourself, etc",0.0,sauce
is also a plus,0.0,
"really good, highly recommended!",0.85,
"however, too loud music on the ground floor.",0.1,"music, floor"
"good food, the quantity is bit more for a normal person",0.425,"food, quantity, person"
go with friends or family order different dishes and share,0.0,"friends, family, order, dish, share"
its fun 😄,0.3,fun
